model_node_id,nucleus_id,pt_root_id,pt_supervoxel_id,session,scan_idx,n_functional_mappings,cell_class,broad_cell_type,microns_mtype,functional_area,status_axon,strategy_axon,status_dendrite,strategy_dendrite,biologically_eligible,skeleton_retrieved,skeleton_error,cave_skeleton_file,cave_skeleton_source,cave_skeleton_sha256,n_skeleton_points_x,n_roots,root_point_id,root_type,n_soma_points_x,n_axon_points_x,n_basal_or_generic_dendrite_points,n_apical_points_x,n_dendrite_points_x,apical_annotation_present,n_unknown_points,finite_coordinates,finite_radii,positive_radii,has_nonpositive_radius,n_nonpositive_radius_points,requires_radius_normalization,n_nonfinite_radii,unique_point_ids,valid_parent_references,missing_parent_ids,self_parent_point_ids,acyclic,connected,allowed_types,morphio_loadable,morphio_error,bmtk_neuron_loadable,bmtk_neuron_error,cave_morphology_eligible,soma_x_um,soma_y_um,soma_z_um,skeleton_file,skeleton_version,functional_mapping_complete,functional_trace_acquisition_deferred,n_functional_units,functional_unit_ids,functional_fields,n_skeleton_points_y,n_soma_points_y,n_axon_points_y,n_dendrite_points_y,n_apical_points_y,n_radius_normalized_points,n_mapped_intrinsic_synapses,n_mapped_external_incoming_synapses,n_unresolved_incoming_synapses,placement_distance_median_um,placement_distance_p95_um,placement_distance_max_um
10,262892,864691136196418518,88326587430689074,9,3,1,excitatory_neuron,4P,L4b,V1,True,axon_fully_extended,True,dendrite_extended,True,True,,data/raw/cave/minnie65_public/materialization_1822/skeletons/skeleton_v4/root_864691136196418518.swc,immutable_raw_cache,6f9982fa3ae833717e39d0dca14541382e8d14a7cd00168244e9b3a622fa6fc9,4355,1,0,1,1,2908,1446,0,1446,False,0,True,True,True,False,0,False,0,True,True,[],[],True,True,True,True,,True,,True,685.056,655.424,875.56,data/raw/cave/minnie65_public/materialization_1822/skeletons/skeleton_v4/root_864691136196418518.swc,4,True,True,1,[7847],[6],4355,1,2908,1446,0,0,2,2009,0,1.4728728214717652,3.380883081244689,10.021435715745502
11,262893,864691135563017953,88396475205406121,9,3,1,excitatory_neuron,4P,L4a,V1,True,axon_fully_extended,True,dendrite_extended,True,True,,data/raw/cave/minnie65_public/materialization_1822/skeletons/skeleton_v4/root_864691135563017953.swc,immutable_raw_cache,8fa89c45b3a18207f11d930b5166065a3052095d31579f4ba5dc70c3c4a84fbf,4513,1,0,1,1,3395,1117,0,1117,False,0,True,True,False,True,1,True,0,True,True,[],[],True,True,True,True,,True,,True,688.128,640.704,888.04,data/raw/cave/minnie65_public/materialization_1822/skeletons/skeleton_v4/root_864691135563017953.swc,4,True,True,1,[4949],[4],4513,1,3395,1117,0,1,3,2504,0,1.570609516491378,3.4933367235987913,10.26183662103626
12,296508,864691135343752901,89803781168041578,9,3,1,excitatory_neuron,4P,L4a,V1,True,axon_fully_extended,True,dendrite_extended,True,True,,data/raw/cave/minnie65_public/materialization_1822/skeletons/skeleton_v4/root_864691135343752901.swc,immutable_raw_cache,13ac730297dfac9e5f4beee44f69530840ecf6285fff5f9703ce12d8532d114e,5303,1,0,1,1,4178,1124,0,1124,False,0,True,True,True,False,0,False,0,True,True,[],[],True,True,True,True,,True,,True,728.64,639.744,822.52,data/raw/cave/minnie65_public/materialization_1822/skeletons/skeleton_v4/root_864691135343752901.swc,4,True,True,1,[4890],[4],5303,1,4178,1124,0,0,3,2536,0,1.5421634063025644,3.4480784096285992,10.663602189550009
13,296513,864691135385310443,90084706389313776,9,3,1,excitatory_neuron,4P,L4a,V1,True,axon_fully_extended,True,dendrite_extended,True,True,,data/raw/cave/minnie65_public/materialization_1822/skeletons/skeleton_v4/root_864691135385310443.swc,immutable_raw_cache,c973b8514c1915ee7e442b4c0ec15d4215ffc4f75cfd2c0bc89217d0e6d1ed64,9074,1,0,1,1,7909,1164,0,1164,False,0,True,True,True,False,0,False,0,True,True,[],[],True,True,True,True,,True,,True,736.64,622.272,834.24,data/raw/cave/minnie65_public/materialization_1822/skeletons/skeleton_v4/root_864691135385310443.swc,4,True,True,1,[4892],[4],9074,1,7909,1164,0,0,3,2661,0,1.5077222118411295,3.2931255002968056,9.35452044305816
14,296680,864691136239902780,91210881240956787,9,3,1,excitatory_neuron,4P,L4b,V1,True,axon_fully_extended,True,dendrite_extended,True,True,,data/raw/cave/minnie65_public/materialization_1822/skeletons/skeleton_v4/root_864691136239902780.swc,immutable_raw_cache,5b34b6699772ddd06b51cdf6d7aca712dee4fd5e6b4cbec8cd0912d45478e823,3768,1,0,1,1,2571,1196,0,1196,False,0,True,True,True,False,0,False,0,True,True,[],[],True,True,True,True,,True,,True,769.216,630.784,847.64,data/raw/cave/minnie65_public/materialization_1822/skeletons/skeleton_v4/root_864691136239902780.swc,4,True,True,1,[2002],[2],3768,1,2571,1196,0,0,1,1879,0,1.648098961184121,3.7823129604824346,20.43799518838721
15,296750,864691135646928111,90225856462565231,9,3,1,excitatory_neuron,4P,L4b,V1,True,axon_fully_extended,True,dendrite_extended,True,True,,data/raw/cave/minnie65_public/materialization_1822/skeletons/skeleton_v4/root_864691135646928111.swc,immutable_raw_cache,739baa5a62219a3ae6844f5e0f32ea643dcefcf92c13b9fe0e75d67315f97e61,3848,1,0,1,1,2722,1125,0,1125,False,0,True,True,True,False,0,False,0,True,True,[],[],True,True,True,True,,True,,True,740.224,634.88,903.32,data/raw/cave/minnie65_public/materialization_1822/skeletons/skeleton_v4/root_864691135646928111.swc,4,True,True,1,[5104],[4],3848,1,2722,1125,0,0,5,2116,0,1.4159971598439092,3.2884075031899593,14.079650368253644
16,296779,864691135361231448,90718300099050675,9,3,1,excitatory_neuron,4P,L4a,V1,True,axon_fully_extended,True,dendrite_extended,True,True,,data/raw/cave/minnie65_public/materialization_1822/skeletons/skeleton_v4/root_864691135361231448.swc,immutable_raw_cache,7c5a18380ce457a19a8cbbcd609355aecf886d53c02ecc1b5bc435353f21c84d,5527,1,0,1,1,4288,1238,0,1238,False,0,True,True,True,False,0,False,0,True,True,[],[],True,True,True,True,,True,,True,754.368,630.4,877.04,data/raw/cave/minnie65_public/materialization_1822/skeletons/skeleton_v4/root_864691135361231448.swc,4,True,True,1,[2036],[2],5527,1,4288,1238,0,0,4,2680,0,1.4783142221862327,3.31461092374667,8.464157634059271
17,298916,864691135577816862,90155899901322754,9,3,1,excitatory_neuron,4P,L4b,V1,True,axon_fully_extended,True,dendrite_extended,True,True,,data/raw/cave/minnie65_public/materialization_1822/skeletons/skeleton_v4/root_864691135577816862.swc,immutable_raw_cache,d353b592fefeea670343dcd6e38890f526744f2b349da544c17a293d4932c160,5440,1,0,1,1,4316,1123,0,1123,False,0,True,True,False,True,2,True,0,True,True,[],[],True,True,True,True,,True,,True,738.432,647.232,872.24,data/raw/cave/minnie65_public/materialization_1822/skeletons/skeleton_v4/root_864691135577816862.swc,4,True,True,1,[8134],[6],5440,1,4316,1123,0,2,0,1781,0,1.5436931626489419,3.5139943616373888,10.762510472198702
18,299060,864691135892355977,90366868694989123,9,3,2,excitatory_neuron,4P,L4a,V1,True,axon_fully_extended,True,dendrite_extended,True,True,,data/raw/cave/minnie65_public/materialization_1822/skeletons/skeleton_v4/root_864691135892355977.swc,immutable_raw_cache,3c41d9b3e99163dc8783d32efeebc20113b8d62c67fdaf60cc2f19807b8f0b21,5931,1,0,1,1,4504,1426,0,1426,False,0,True,True,True,False,0,False,0,True,True,[],[],True,True,True,True,,True,,True,744.64,641.856,875.4,data/raw/cave/minnie65_public/materialization_1822/skeletons/skeleton_v4/root_864691135892355977.swc,4,True,True,2,"[5667, 8239]","[4, 6]",5931,1,4504,1426,0,0,10,3187,0,1.5025034660101086,3.223077922252676,8.876318307509873
19,299068,864691135481148614,90507881127926748,9,3,1,excitatory_neuron,4P,L4a,V1,True,axon_fully_extended,True,dendrite_extended,True,True,,data/raw/cave/minnie65_public/materialization_1822/skeletons/skeleton_v4/root_864691135481148614.swc,immutable_raw_cache,548e341f8952e1cacb4208e754111e6a7a69e95509f4b975039a5bdaa21ea7c5,10064,1,0,1,1,8630,1433,0,1433,False,0,True,True,True,False,0,False,0,True,True,[],[],True,True,True,True,,True,,True,749.12,650.176,881.68,data/raw/cave/minnie65_public/materialization_1822/skeletons/skeleton_v4/root_864691135481148614.swc,4,True,True,1,[7793],[6],10064,1,8630,1433,0,0,3,3933,0,1.2895938263272613,2.7923699560021658,13.963880442359525
